borrower_name,email,phone
Borrower 1,borrower1@example.com,9876500001
Borrower 2,borrower2@example.com,9876500002
Borrower 3,borrower3@example.com,9876500003
Borrower 4,borrower4@example.com,9876500004
Borrower 5,borrower5@example.com,9876500005
Borrower 6,borrower6@example.com,9876500006
Borrower 7,borrower7@example.com,9876500007
Borrower 8,borrower8@example.com,9876500008
Borrower 9,borrower9@example.com,9876500009
Borrower 10,borrower10@example.com,9876500010
Borrower 11,borrower11@example.com,9876500011
Borrower 12,borrower12@example.com,9876500012
Borrower 13,borrower13@example.com,9876500013
Borrower 14,borrower14@example.com,9876500014
Borrower 15,borrower15@example.com,9876500015
Borrower 16,borrower16@example.com,9876500016
Borrower 17,borrower17@example.com,9876500017
Borrower 18,borrower18@example.com,9876500018
Borrower 19,borrower19@example.com,9876500019
Borrower 20,borrower20@example.com,9876500020
Borrower 21,borrower21@example.com,9876500021
Borrower 22,borrower22@example.com,9876500022
Borrower 23,borrower23@example.com,9876500023
Borrower 24,borrower24@example.com,9876500024
Borrower 25,borrower25@example.com,9876500025
Borrower 26,borrower26@example.com,9876500026
Borrower 27,borrower27@example.com,9876500027
Borrower 28,borrower28@example.com,9876500028
Borrower 29,borrower29@example.com,9876500029
Borrower 30,borrower30@example.com,9876500030
